,text,truthVals
36,"Milwaukee has ""the highest incarceration rate among African-American men in the country.""",0.6
37,"Under President Barack Obama, ""We’ve got the lowest labor force participation in over three decades, since 1978.""",0.8
38,"""47 - New provisions ObamaCare charges the IRS with implementing, according to the Government Accountability Office.""",1.0
39,"Georgia’s illegal-immigration legislation ""simply follows existing federal law.""",0.6
40,"""The Republicans just voted last year to end Medicare.""",0.2
41,Says Iowa Gov. Terry Branstad chartered a plane to remove 124 young illegal immigrants from his state and take them back to Honduras.,0.0
42,"""It has been 80 years since a Supreme Court vacancy was nominated and confirmed in an election year. There is a long tradition that you don't do this in an election year.""",0.6
43,"Common Core ""is not from the federal government,"" they ""do not have their fingerprints on this thing at all.""",0.8
44,"More than 3,000 homicides were committed by ""illegal aliens"" over the past six years.",0.0
45,On in-state tuition for illegal immigrants.,0.5
46,"Gov. Rick Perry ""has overseen the highest Texas unemployment in 22 years.""",0.6
47,"The Republican Party has ""21 percent party ID and shrinking.""",0.8
48,"Says 97 percent of food stamp benefits ""are paid in the proper amounts to people who are really eligible.""",1.0
49,"U.S. military involvement in Libya ""allowed thousands of surface-to-air missiles to fall into the hands of radical Islamists.""",0.4
50,"Ed Gillespie ""would not mention (Donald Trump’s) name unless he was condemning him.""",0.2
51,"""I campaigned on (the proposals in the budget repair bill for Wisconsin) all throughout the election. Anybody who says they are shocked on this has been asleep for the past two years.""",0.2
52,"""A clause hidden in the Obamacare bill, which is now law, gives Obama the right to form a private army.""",0.0
53,"ExxonMobil CEO Rex Tillerson ""will have to divest his holdings, that’s a requirement"" to serve as Secretary of State.",0.2
54,"""According to Pew Research, 99 percent of the people in Afghanistan support oppressive Sharia law.""",0.8
55,"Sarah Palin ""has had 12 years of elected office experience.""",1.0
56,"Housing prices dropped for the 30 months prior to Barack Obama taking office, ""and they have stabilized, they've been about flat since the president came in.""",0.6
57,"Budget analysts say the looming tax hikes and spending cuts would  ""take us into a recession and kill jobs.""",1.0
58,"""In the first full month of my administration following the issuance of my executive orders, illegal immigration on our southern border fell by an unprecedented 40 percent.""",0.8
59,Says this House processed and approved as many bills as previous Legislatures.,0.4
60,"Like Marco Rubio, Sen. Barack Obama had ""one of the worst attendance records in the Senate.""",1.0
61,"Says Jill McCabe ""supports late term abortions. Larger baby parts are more profitable.""",0.0
62,"Says Russ Feingold supported a stimulus plan that allowed a company to create 3,000 jobs in China.",0.4
63,"""25% of human trafficking victims are located in Texas.""",0.0
64,"Wisconsin Gov. Scott Walker’s estimate of a $3.6 billion state budget deficit is ""manufactured"" and a ""bogus figure.""",0.2
65,"Says he ""is the only candidate in the race for Clackamas County Chair who will refuse to join the Public Employees Retirement System.""",1.0
66,"""(Birmingham, Ala.) is the cradle of the civil rights movement.""",0.4
67,"""The Alternative Minimum Tax was never intended to hit people in middle income, upper middle income. It was meant for people who are rich and evading taxes.""",1.0
68,"""If you go back to 1999, Wayne LaPierre testified on behalf of the NRA that background checks were appropriate and should be done.""",1.0
69,"""If our recovery were more typical of the postwar era . . . we would have 14 million more jobs today.""",0.8
70,"""While introducing Donald Trump, former New York City Mayor Rudy Giuliani omitted the September 11, 2001, strikes as a ‘successful’ terrorist attack during the eight years before President Obama’s 2008 election.""",1.0
71,"In discussing the attacks on the U.S. consulate in Benghazi, Libya, ""Ms. Rice did say 'a terrorist attack.' It’s not that she put the whole thing on the video.""",0.4
72,Slot machines in Miami-Dade and Broward counties have generated 20 percent of the promised $500 million per year for schools.,0.8
73,"""We’ve spent $6 trillion"" on the wars in the Middle East.",0.6
74,"""Scott Walker gave Wisconsin job creation money to his cronies: corporate friends who contributed to his campaigns"" and got $570 million in job-development incentives",0.2
75,"There were ""50 percent more murders"" in Orlando and Orange County, Fla., last year ""than in all of Sweden.""",0.8
76,"Terrorism and terrorist attacks in the United States and Europe have ""gotten to a point where it's not even being reported.""",0.0
77,"Says his tax and fee cuts will save households ""$540 over two years.""",0.4
78,"""Sens. Isakson’s, Chambliss’ Votes Against Unemployment Insurance Were Votes to Kill Nearly 6,000 Georgia Jobs.""",0.6
79,"""We've created more jobs in the United States than every other advanced economy combined since I came into office.""",0.6
80,"Federal spending is ""all discretionary, other than interest on the national debt. Social Security is discretionary. We have the discretion to change the law. Same is true with Medicare and Medicaid.""",1.0
81,"Says he supported the 1994 crime bill because ""there is a ban on assault weapons in that bill.""",0.6
82,"""FBI issues Warrant For Obama’s Arrest After Confirming Illegal Trump Tower Wiretap.""",0.0
83,"David Cicilline was ""required to provide key information about city finances to an independent outside auditor. The deadlines were clear -- yet [he intentionally] missed them by months"" until after the November 2010 election.",0.4
84,"""Massachusetts is reporting a trend far below the national trend in the escalation of health-care costs in this year.""",0.4
85,"When Hillary Clinton ""ran the State Department, $6 billion was missing. How do you miss $6 billion? You ran the State Department, $6 billion was either stolen — they don't know.""",0.0
86,"Says ""the cascading effects"" of climate change contributed to the rise of ISIS.",0.8
87,"""We are 49th in the nation for our graduation rate""",0.8
88,"Says Sen. Pat Toomey ""even tried to shut down the federal government in order to eliminate funding for Planned Parenthood.""",0.4
89,"Says Barack Obama told the U.S. Coast Guard Academy ""that the number one threat to the military and the world today is global warming.""",0.4
90,"Says he’s proposed ""the largest employer contribution to the Virginia Retirement System in history.""",1.0
91,"""Shaheen votes with Obama 99 percent of the time.""",0.8
92,"""The Clinton Foundation is a charity where President and Secretary Clinton and their daughter, they take no salary, they get no money from it, they take no personal benefit from it.""",0.8
93,"Says Hillary Clinton ""took 13 hours to send help to Americans under fire"" during the terrorist attack in Benghazi.",0.2
94,"Says none of the government programs targeted for elimination or severe cutback in House Republican spending plans ""appeared on the GAO's list of government programs at high risk of waste, fraud and abuse.""",1.0
95,Says  Sherrod Brown’s campaign attacked Josh Mandel’s military service,0.4
96,"Defends his vote to push ""retirement age to 70"" by saying he is for ""a process"" that would not be fully implemented until ""around the turn of the century.""",0.4
97,"""As unbelievable as it sounds, your tax dollars are funding the federal government's Zombie Apocalypse Plan. I kid you not.""",0.2
98,"Says Mitt Romney said he does not ""line up with the NRA.""",1.0
99,"In Sauk City, Wisconsin, ""the ID office"" that provides identification for voting ""is only open on the fifth Wednesday of every month"" -- a total of four days in 2016.",0.8
100,"""The $2.3-billion budget deficit I inherited when I came into office became a $2.9-billion surplus.""",0.6
101,"Israel cut its illegal immigration rate by ""99 percent"" by constructing a 143-mile fence along its southern border.",0.8
102,"""No one on my staff has ever been charged with a crime.""",0.2
103,"""Oregon’s per capita income is 9 percent below the national average and getting worse. This is a state that’s actually getting poorer.""",0.6
104,"""If you look at Latino kids between 17 and 20 who graduated high school, 36 percent of them are unemployed or underemployed. … African-American kids are unemployed or underemployed to the tune of 51 percent.""",0.8
105,On whether state employees should contribute to their pensions.,0.5
106,"John McCain has said the economy is ""not his strong suit.""",1.0
107,"""The growth rate of women-owned businesses in Texas has nearly doubled that of the nation since President Obama has taken office.""",0.6
108,"About 106,000 soldiers had ""a prescription of three weeks or more"" for pain, depression or anxiety medication.",1.0
109,"Roy Blunt ""voted to raise his own pay 12 times"" while in Congress.",0.4
110,"Lizbeth Benacquisto's supporters ""would make (abortion) illegal in all cases, including rape, incest, even to save a woman's life.""",0.8
111,"""The U.S. State Department has ordered 160,000 Hazmat suits for Ebola, prompting concerns that the federal government is anticipating the rapid spread"" of the virus.",0.6
112,"When the United States ""first created the federal income tax, frankly, nobody below a million dollars a year paid anything.""",0.2
113,"An image of nine white, blond women shows ""the amazing diversity of Fox News anchors.""",0.4
114,"""#GradInsurance debacle is a DIRECT result of #ObamaCare. #MIZZOU has to break the law to do the right thing.""",0.6
115,"""The city of San Antonio reuses almost 40 percent of its water. You know how much the city of Austin reuses? About 5 percent. And that's not right. We can do better.""",0.4
116,"""Julie Lassa willingly took a hefty pay raise at a time when people throughout her district and the state were losing their jobs.""",0.6
117,"""Republicans have already cut our neighborhood public schools three budgets in a row.""",0.4
118,"On ending the war in Iraq, ""Gov. Romney said that was a tragic mistake, we should have left 30,000 troops there.""",0.6
119,"""We were not, I repeat, were not told that waterboarding or any of these other enhanced interrogation methods were used.""",0.2
120,"Says Deborah Ross ""supports the Iran nuclear deal and the ransom it paid for hostages.""",0.6
121,"Says there are ""a half a trillion dollars in cuts to Medicare that are going to go in place"" as a result of health care reform.",0.4
122,"""Obama’s Clean Power Plan ... eliminates coal-fired power plants.""",0.4
123,"About a third of Wisconsin’s high schools ""are missing the mark of graduating young adults who are college ready,"" a ""pass rate of 66.6%.""",0.4
124,"""Hedge fund managers and others in private equity pay much lower (tax) rates on their income than do truck drivers and teachers and nurses.""",0.2
125,"Oregon has never before tried to create a land-use plan for ""what it should look like for 50 years.""",1.0
126,"""Austin is number one in Texas in startups, venture capital and patents.""",1.0
127,"""On three occasions, judges had to stop Jason Kander from manipulating elections.""",0.4
128,"""There was never a single shred of evidence presented to anyone"" that the attacks in Benghazi, Libya, were ""spontaneous, and in fact, the CIA themselves understood that early on.""",0.6
129,The Obama administration has cut taxes on small businesses 17 times.,0.8
130,Darryl Hicks had seven ethics violations and didn't pay most of the fines.,0.6
131,"Says Austin trains are ""full"" at rush hour and ""packed"" for special events.",0.8
132,"The city of Richmond ""built the second richest team in the NFL a $14 million stadium.""",0.6
133,"Under last year’s health care reform, ""a bunch of bureaucrats decide whether you get care, such as continuing on dialysis or cancer chemotherapy.""",0.2
134,"Says the Congressional Budget Office said ""unemployment could top 9 percent in 2013""",0.4
135,"""Despite what you may have heard about Wisconsin’s finances, Wisconsin is on track to have a budget surplus this year.""",0.2
136,"""Five percent of Americans pay over half the income taxes in this country. Forty percent of Americans pay no income taxes at all.""",1.0
137,"""There’s a mosque inside of the Pentagon.""",0.2
138,Regulations on developers have thwarted construction on county-owned land in Milwaukee’s downtown Park East corridor.,0.4
139,"New federal projections estimate that the health care overhaul ""will cost $1.76 trillion over 10 years -- well above the $940 billion Democrats originally claimed.""",0.2
140,"""A family of four can make up to $88,000 a year and still get a subsidy for health insurance"" under the new federal health care law.",1.0
141,The addition of a 1 percent sales tax would cost a typical household in Hillsborough County approximately $12 a month.,0.8
142,"The Confederate battle flag at the South Carolina statehouse ""must fly at a height of 30 feet. Any changes -- taken down, or even at half-staff, if that can be done -- must be passed by a supermajority of the General Assembly.""",1.0
143,"""Mitt Romney’s pledged to protect (oil companies') record profits – and their billions in special tax breaks, too.""",0.6
144,"""Over half of the young people"" in medical, dental and law schools are women.",0.2
145,"Says ""51 percent of federal tax filers paid zero federal income tax.""",1.0
146,"Says uncompensated health care costs absorbed by Texas hospitals are adding $1,800 a year to Texas private insurance rates.",0.4
147,"California will have the ""highest gas tax in the nation"" once its 12 cent gas tax hike goes into effect.",0.2
148,"""We're going to be looking at $8 billion a day that we're going to be pouring into foreign countries in order to import that make-up fuel that we're going to need to take the place of what we could have gotten out of the gulf.""",0.0
149,"""Thanks to the Obama administration’s negotiations, Iran’s nuclear program will be under lock, key and camera 24 hours a day, 365 days a year.""",0.6
150,"Says he ""tore down hundreds of abandoned homes that served as havens for crime and reduce(d) the value of our neighborhoods.""",0.8
151,"""Jeb's policies in Florida helped lead to its almost total collapse.""",0.4
152,"In the case of a catastrophic event, the Atlanta-area offices of the Centers for Disease Control and Prevention will self-destruct.",0.0
153,"""The legislation ... that Senator McCain supports would provide the authority for the federal government to surveille American citizens in their own country without any suspicion whatsoever that they're engaging in discussions with terrorists or about criminal activity.""",1.0
154,Women in the United States are paid about 70 percent of what men earn for the same work.,0.4
155,On the Trans-Pacific Partnership.,0.5
156,"By releasing only basic tax information, former U.S. Congressman Nathan Deal is ""hiding more than he's disclosed"" about his business dealing with the state.",0.6
157,"""In the 513 days between Trayvon dying, and today’s verdict, 11,106 African-Americans have been murdered by other African-Americans.""",0.4
158,Says gubernatorial recall candidate Tom Barrett supported passage of Gov. Scott Walker’s bill stripping collective bargaining of state employees.,0.2
159,"Says Sen. Kay Hagan ""has missed half of the (Senate Armed Services) Committee's hearings in 2014.""",0.8
160,"""U.S. Embassy Celebrates America’s Independence on June 4th in Order to Accommodate Muslims.""",0.8
161,"Access for 12,000 women to use Planned Parenthood -- ""not for the right to choose,"" but for ""basic health care"" -- was ""taken away"" by Wisconsin Gov. Scott Walker and Lt. Gov. Rebecca Kleefisch.",0.8
162,"""I investigated Abramoff and people ended up in jail.""",0.8
163,"Rick Perry thinks ""injecting 11- and 12-year-old girls with a controversial drug (the HPV vaccine), without a parent's consent, is a good idea.""",0.0
164,"If the Supreme Court throws out the federal health care law, it ""would be an unprecedented, extraordinary step of overturning a law that was passed by a strong majority of a democratically elected Congress.""",0.2
165,"""America has already taken in one-fourth of Mexico's entire population.""",0.0
166,"Says ""there are actually more people in poverty now than there were when we started"" the War on Poverty.",0.8
167,"""Oil companies ...currently have 68-million acres that they're not using.""",0.2
168,House Bill 2301 never had a public hearing,0.8
169,"""28 percent of Kentuckians don’t have any online access.""",0.6
170,"A recent drop in the unemployment rate is questionable because it was calculated ""over two days of the Thanksgiving week.""",0.2
171,"""Hollywood is #1 in Broward homicides in 2013. Thanks Chief Fernandez!""",0.6
172,"""Our rainy day fund has gone from 89 cents to $240 million.""",1.0
173,"Under Gov. Scott Walker, ""employer confidence now stands at 95 percent,"" compared to ""only 10 percent"" at the end of the ""Gov. Jim Doyle-Mary Burke administration.""",0.4
174,"Payday lenders profit ""from the poor by charging 1,000-plus"" percent ""interest.""",0.6
175,"""We are at a 40-year low in our crime rate in our state.""",1.0
176,Says he never wanted to raise the debt ceiling.,0.4
177,"""One international flight a day in a wide-bodied jet ... one flight daily generates $150 million a year and approximately 2,300 jobs.""",0.6
178,The U.S. Supreme Court decided in 1982 that non-citizen children must get free K-12 education.,1.0
179,"""Texas has 600,000 registered voters who don’t have the kind of photo ID needed to vote.""",0.8
180,"""New York state law says you are alive when you begin to breathe.""",0.8
181,"In the past three years, ""we've added enough new oil and gas pipeline to circle the Earth and then some.""",1.0
182,Says he's signed a pledge not to raise taxes four times.,1.0
183,"""Your chances of throwing it are actually a little bit better in that situation.""",0.2
184,"""I've supported every investigation (into Hurricane Katrina) and ways of finding out how – what caused the tragedy. I've met with people on the ground. I've met with the governor.""",0.4
185,"""We spend a staggering amount of money on health care — over $2-trillion and almost twice as much as any other country per person.""",0.6
186,"""The federal government has not engaged in (border security) at all.""",0.0
187,"Says Texas ""school systems"" lose 45 days a year on testing.",0.4
188,"State ""school funding per pupil is down 16 percent compared to 2009, after adjusting for inflation.""",1.0
189,"Says that since lawmakers acted, ""we have 130 new businesses across Texas doing helicopter hog hunts.""",0.2
190,"""Every bit of plastic that has ever been created still exists.""",0.2
191,"Says with Jon Corzine, ""it's the first time, I think, in history where a former Senator has been subpoenaed to testify before his former colleagues.""",1.0
192,"The merger of Georgia State University and Georgia Perimeter College will make GSU one of the largest universities in the nation, with more than 54,000 students.",1.0
193,"""Chesterfield has eliminated more positions from its general government operations than the Commonwealth has from the entire state government since (fiscal) 2009.""",1.0
194,"Under Barack Obama, ""the fewest number of adults are working since Jimmy Carter’s presidency.""",0.2
195,"""Colorado raked in $60 million in marijuana taxes and licensing fees in the past year.""",1.0
196,John Paul Stevens is the only Protestant on the U.S. Supreme Court.,1.0
197,The omnibus bill has only $3.8 billion in earmarks.,0.2
198,"Says ""millions of dollars in tax breaks"" were paid for ""by busting unions, cutting BadgerCare, and raising taxes on the poor and the middle class, thanks to Elizabeth Coggs' help.""",0.0
199,"""In the past year alone, Ohio businesses have created more jobs than almost every other state in the country.""",1.0
200,"""Revenues are 15 percent of GDP — it’s still in the range of the lowest it’s ever been.""",0.8
201,"""Social Security is a Ponzi scheme.""",0.2
202,"Says ""Every year air pollution protections are delayed, another 34,000 people will die prematurely.""",0.8
203,"(McCain) says ""we can't have ... timelines to draw down our troops from Iraq.""",0.6
204,Says 11 percent of the nation’s fatal car crashes in 2009 were attributed to distracted driving.,0.8
205,"Said Vin Diesel declared his love of Rockford, Ill., after locals provided him car help and hospitality.",0.0
206,"Says Charlie Crist ""stood there, over 3 African-American prisoners in chains, on their knees, on the side of the road. Saying that it was a great sight. Saying we needed to bring it to Florida. And you did this — whether you know or not — on the eve of Juneteenth, the day the African-American community celebrates the end of slavery.""",0.6
207,"""When Chuck Schumer and Marco Rubio tried to push amnesty, it was Ted Cruz who stopped them.""",0.4
208,Americans spend 6.1 billion hours a year complying with tax law. It costs us $163 billion to comply with our tax laws annually.,1.0
209,"""We need a Senator who shows up to work. Sherrod Brown missed over 350 official votes.""",0.4
210,"Obama plans ""a tax increase for everyone earning more than $42,000 a year.""",0.2
211,Says Obama doubled funding for the Pell Grant.,0.8
212,"An independent payment advisory board created by the health care reform law ""can ration care and deny certain Medicare treatments.""",0.0
213,"""An April study found that about 70 percent of ads in this election cycle have been negative [due to SuperPACs], up from only 9 percent through the same period in 2008.""",0.8
214,"""Net immigration from Mexico last year was zero. Fact-check me.""",0.8
215,"""America produces more oil and gas than any other nation in the world.""",1.0
216,"""Contrary to popular belief, we actually don’t have that many public employees…We are well below average in the number of public employees.’’",1.0
217,"The Medford Water Commission was fined $279,000 for dumping plain drinking water into a stream.",0.6
218,"""GEORGIA ROADWAY FATALITIES THIS YEAR: 59

PLEASE DRIVE SAFELY""",1.0
219,"""To hear Gov. Christie tell it, everything in New Jersey is going just fine. Well I see another New Jersey with 400,000 unemployed. One of the worst jobless rates in the country. Working and middle class families have seen costs soar, from property taxes to college tuition.""",0.6
220,"Most Americans want ""traditional marriage,"" as defined by the Defense of Marriage Act.",0.4
221,"Says White House adviser Steve Bannon said, ""Nobody can blame you for beating your wife if it’s out of love.""",0.0
222,Christmas trees are grown in all 50 States.,1.0
223,"""We now know these firms are unwilling to put up any private money,"" for California's high-speed rail project.",0.4
224,"""[Renewable energy] projects . . . get us off foreign oil and away, step by step, from these foreign entanglements that we have to get into to defend our oil supply.""",0.4
225,"""Americans are 20 times as likely to die from gun violence as citizens of other civilized countries.""",0.8
226,"""Not one tax has been raised since I've been governor.""",0.6
227,"John McCain ""said publicly that Hillary Clinton would make a good president.""",1.0
228,"""The Agriculture Department estimates that roughly 42 percent of the corn crop will be used to make ethanol -- more than the amount of corn used to feed livestock and poultry in the United States.""",0.6
229,"The ""Democratic Party is getting smaller and smaller and smaller.""",0.4
230,"""The Trans-Pacific trade deal could cost America 448,000 more jobs.""",0.6
231,"""Sen. Mark Begich cast the deciding vote in favor of President Obama’s authority to issue executive amnesty to illegal aliens.""",0.2
232,"""We can save $125 billion in simply not giving out money to Medicare recipients that don't exist for procedures that didn't happen.""",0.2
233,"""By the end of this decade, the interest we owe on our debt could rise to nearly $1 trillion.""",0.6
234,"Says Milwaukee County district attorney candidate Verona Swanigan ""has worked as a prosecutor.""",0.2
235,"The current debate over authorizing military action against the Islamic State ""would be the first time Congress would place limits on the commander-in-chief's ability to be commander-in-chief.""",0.2
236,"""Amazing fact: Senate has already voted on more amendments in 2015 than Reid allowed ALL YEAR last year.""",0.8
237,"""President Reagan did it (raised the debt ceiling) 18 times.  George W. Bush did it seven times.""",1.0
238,"""What the Arizona law does is make a state crime out of something that already is... a federal crime.""",0.8
239,"""Every one of the 67 supervisors of elections"" in Florida refused to carry out the effort to remove noncitizens from the voter rolls.",0.2
240,"A tax plan promoted by North Carolina Senate candidate Thom Tillis will ""overwhelmingly benefit the wealthy.""",0.8
241,"Says the claims that Texas faces a $27 billion shortfall ""are flat-out false.""",0.2
242,"Says Donald Trump, in his campaign announcement speech, ""also said, ‘And many of them (Mexicans) are good people. You keep leaving that out of your quote.""",0.6
243,"""Whether in Illinois or Washington, Barack Obama has bridged partisanship to bring about significant reform.""",0.6
244,"""There has never been an alderman who has defeated an incumbent mayor in the history of this great city.""",1.0
245,"Says he will pursue change in federal law to protect employees from ""extortion from a union"" because ""the Supreme Court has ruled that federal prohibitions outlawing extortion usually do not apply to unions.""",0.4
246,"The RESTORE Act started as an ""effort to dedicate as much BP fine money as possible towards Gulf Coast restoration"" but now ""could steer money to places like the Great Lakes and West Coast.""",0.6
247,"Says, ""Statistics indicate that one in eight children, and one in 18 adults in Oregon suffers from mental illness.""",0.8
248,"""We in Indiana have . . . the highest credit rating in the nation.""",0.8
249,"There ""are 500 registered Republicans moving"" to Texas ""every day.""",0.6
250,"""Agriculture has always required a significant workforce from abroad.""",0.4
251,"In 2008, Charlie Crist ‘""applauded the pick of Sarah Palin and said she would do ‘a great job.’""",1.0
252,"""There is no evidence to support the claim that Guantanamo is used as a recruiting tool"" for terrorists.",0.6
253,"Says she made an ""accurate prediction"" that if Barack Obama were elected it would encourage Russia to invade Ukraine.",0.6
254,"""John McCain intervened, which helped Airbus get that Pentagon contract.""",0.4
255,"""We have the best schools in the United States.""",0.4
256,"""Deepwater's own testimony . . . is they said they'll create six jobs.""",0.6
257,"Says on contraception, his plan is ""cheaper and easier for you"" than Sen. Mark Udall’s",0.4
258,"The president’s proposed budget ""will help reduce the deficit by $400 billion over the next decade to the lowest level since Dwight Eisenhower was president.""",0.2
259,Says Texas ranks 44th nationally in education funding per pupil.,0.8
260,"In Iraq, ""civilian deaths, incidents of bombings, etc., remain very low relative to what was going on last year.""",1.0
261,"""Nearly 60 percent of women who use birth control do so for more than just family planning.""",0.8
262,"ISIS sends out ""90,000 social (media) messages a day.""",0.8
263,"The 2015 Legislature ""passed the fewest laws in 20 years.""",1.0
264,"""The collective net worth of Americans has taken a $5.5 trillion hit ... mainly due to plummeting home values.""",1.0
265,"The ""Democrat majority in the Senate has failed to submit [a] budget in the past 1,000 days.""",0.4
266,"Says Wisconsin Supreme Court candidate JoAnne Kloppenburg ""put an 80-year-old farmer in jail for refusing to plant native vegetation on his farm.""",0.0
267,"""Right now in Georgia, nearly one in three leaving our prisons are re-convicted within three years.""",1.0
268,"""92 percent of the jobs lost during Barack Obama’s first term belonged to women.""",0.2
269,"""Today in America, we have more people in jail than any other country on Earth.""",0.8
270,"""More than 40,000 troops are still stationed in Afghanistan with no clear objective. Even in the best case, by the end of the year at least 10,000 American soldiers will still be on the ground.""",0.6
271,"The House budget plan proposes ""the largest discretionary spending cut in history.""",0.8
272,"""McCain will give more tax breaks to big oil.""",0.4
273,"Says U.S. Senate candidate Michelle Nunn was ""handpicked"" by President Barack Obama",0.6
274,"Six convictions are connected to an allegation by prosecutors ""that Gov. Scott Walker is at the center of a criminal scheme.""",0.2
275,"Says David Dewhurst ""went out for drinks"" during Senate debate on abortion bill.",0.6
276,You may have driven the length of a football field in the five seconds it takes to check a text.,1.0
277,"The Every Student Succeeds Act ""did away basically with Common Core.""",0.4
278,"Says Bernie Sanders ""fundamentally changed the lives"" of Immokalee farm workers in Florida for the better.",0.6
279,"There are prototype cars that get between 100 and 150 miles per gallon and ""we could have those cars in your garages in a couple of years.""",0.4
280,Says Ron Paul insisted FEMA should be shut down.,1.0
281,"""Rhode Island is the only state where officers at state-supported [colleges] carry out their duties unarmed.""",0.8
282,"""Expanding Medicaid would create 63k jobs.""",0.6
283,"Says New Jersey’s tenure law ""has now been reformed to say that if teachers get two years of partially effective or ineffective ratings they lose tenure.""",0.2
284,"""We've got 40 years of study now that show that, with a good preschool start, you're less likely to be on public dole, you're less likely to be in prison.""",0.8
285,"Says ""cities save an estimated $38 in dental costs for every $1 invested in fluoridation.""",0.8
286,"""In order to pass the CRCT in Georgia, you simply have to get half of the answers correct.""",0.8
287,"""Last year, handguns killed 48 people in Japan, 8 in Great Britain, 34 in Switzerland, 52 in Canada, 58 in Israel, 21 in Sweden, 42 in West Germany and 10,728 in the United States.""",0.6
288,"The R.I. Turnpike and Bridge Authority ""was supposed to exist only until the bonds used to build the Newport Bridge were paid off through tolls. Once the bonds were paid, the Newport Bridge was to be transferred to the State of Rhode Island and become toll-free.""",0.8
289,"Says that in a hearing, Rep. Gabrielle Giffords suggested to Gen. David Petraeus that the Army ""put more emphasis on less environmentally damaging methods, like stabbing or clubbing enemy forces in order to minimize the carbon output.""",0.0
290,"""Without the financial resources provided by hunters to protect habitat and stop poachers, there would be no infrastructure for wildlife management.""",0.2
291,"The Massachusetts health care plan ""dealt with 8 percent of our population,"" far less than the ""100 percent of American people"" affected by President Barack Obama’s health care law.",0.0
