text,pagination,pagination-href,link_to_truth_page-src
"Says Mitt Romney has said different things about whether global warming is caused by humans","","http://www.politifact.com/subjects/climate-change/statements/?page=7","http://static.politifact.com.s3.amazonaws.com/rulings/tom-mostlytrue.png"
"Contends that President Obama ""literally said (if) his cap-and-trade proposals were to pass, that utility rates, his words now, would, 'necessarily skyrocket.'""","","http://www.politifact.com/subjects/climate-change/statements/?page=9","http://static.politifact.com.s3.amazonaws.com/rulings/tom-true.png"
"Says Newt Gingrich aligned with Nancy Pelosi on global warming.","","http://www.politifact.com/subjects/climate-change/statements/?page=7","http://static.politifact.com.s3.amazonaws.com/rulings/tom-true.png"
"Says the media created the term ""polar vortex"" and the cold air proves ""the ice isn’t melting.""","","http://www.politifact.com/subjects/climate-change/statements/?page=5","http://static.politifact.com.s3.amazonaws.com/rulings/tom-pantsonfire.gif"
"Says Mitt Romney supports cap and trade.","","http://www.politifact.com/subjects/climate-change/statements/?page=7","http://static.politifact.com.s3.amazonaws.com/rulings/tom-false.png"
"Recent record-low water levels in Lake Michigan are evidence that global warming is leading to ""the evaporation of our Great Lakes.""","","http://www.politifact.com/subjects/climate-change/statements/?page=6","http://static.politifact.com.s3.amazonaws.com/rulings/tom-halftrue.png"
"Says ""11 straight years of no major hurricanes striking land"" in the United States ""bores a hole right through the whole climate change argument.""","","","http://static.politifact.com.s3.amazonaws.com/rulings/tom-pantsonfire.gif"
"The United States can immediately tap a domestic energy resource of ""more than 1.5 trillion barrels of oil, six times more than Saudi Arabia.""","","http://www.politifact.com/subjects/climate-change/statements/?page=6","http://static.politifact.com.s3.amazonaws.com/rulings/tom-mostlyfalse.png"
"""More than 7,000 Americans lost their lives to climate change-fueled events last year.""","","http://www.politifact.com/subjects/climate-change/statements/?page=3","http://static.politifact.com.s3.amazonaws.com/rulings/tom-false.png"
"Wisconsin’s attorney general and state treasurer ordered the daughter of Earth Day founder Gaylord Nelson not to discuss climate change on state time.","","http://www.politifact.com/subjects/climate-change/statements/?page=3","http://static.politifact.com.s3.amazonaws.com/rulings/tom-true.png"
"Obama has admitted a cap and trade plan would cause electricity bills to ""skyrocket.""","","http://www.politifact.com/subjects/climate-change/statements/?page=9","http://static.politifact.com.s3.amazonaws.com/rulings/tom-true.png"
"""DEP has 2,812 employees, the lowest level since the mid-’80s.""","","http://www.politifact.com/subjects/climate-change/statements/?page=6","http://static.politifact.com.s3.amazonaws.com/rulings/tom-halftrue.png"
"Despite attention on global warming, ""fewer Americans carpool today to work than carpooled in 1980"" and ""SUVs have never been a larger proportion of the vehicles being sold in this country.""","","http://www.politifact.com/subjects/climate-change/statements/?page=2","http://static.politifact.com.s3.amazonaws.com/rulings/tom-mostlytrue.png"
"""Hurricane Sandy, the most destructive Atlantic storm ever.""","","http://www.politifact.com/subjects/climate-change/statements/?page=6","http://static.politifact.com.s3.amazonaws.com/rulings/tom-mostlyfalse.png"
"On a cap-and-trade plan.","","http://www.politifact.com/subjects/climate-change/statements/?page=8","http://static.politifact.com.s3.amazonaws.com/rulings/fom-fullFlop.png"
"Annual precipitation ""has increased in Rhode Island by over 12 inches in the last century.""","","http://www.politifact.com/subjects/climate-change/statements/?page=3","http://static.politifact.com.s3.amazonaws.com/rulings/tom-true.png"
"""I never favored cap and trade.""","","http://www.politifact.com/subjects/climate-change/statements/?page=7","http://static.politifact.com.s3.amazonaws.com/rulings/tom-false.png"
"""Texas ranks: #1 in worker deaths, #1 carbon emissions, #50 in high school graduates, #50 in funding for mental health patients.""","","http://www.politifact.com/subjects/climate-change/statements/?page=5","http://static.politifact.com.s3.amazonaws.com/rulings/tom-halftrue.png"
"""Narragansett Bay waters are getting warmer -- 4 degrees Fahrenheit warmer in the winter since the 1960s.""","","http://www.politifact.com/subjects/climate-change/statements/?page=6","http://static.politifact.com.s3.amazonaws.com/rulings/tom-halftrue.png"
"The Chamber of Commerce says new carbon regulations will kill ""244,000 jobs a year"" and cost average families ""$1,200 a year.""","","http://www.politifact.com/subjects/climate-change/statements/?page=4","http://static.politifact.com.s3.amazonaws.com/rulings/tom-false.png"
"The Keystone oil pipeline ""would employ 20,000 people in the United States.""","","http://www.politifact.com/subjects/climate-change/statements/?page=7","http://static.politifact.com.s3.amazonaws.com/rulings/tom-false.png"
"""Global surface temperatures have been flat for 16 years.""","","http://www.politifact.com/subjects/climate-change/statements/?page=5","http://static.politifact.com.s3.amazonaws.com/rulings/tom-halftrue.png"
"Says ""Did you know that the #KeystoneXL project is expected to create 20,000 American jobs, including more than 800 in Oregon?""","","http://www.politifact.com/subjects/climate-change/statements/?page=6","http://static.politifact.com.s3.amazonaws.com/rulings/tom-mostlyfalse.png"
"Climate change is ""directly related"" to the growth of terrorism.","","http://www.politifact.com/subjects/climate-change/statements/?page=2","http://static.politifact.com.s3.amazonaws.com/rulings/tom-mostlyfalse.png"
"Says there’s not ""much evidence to suggest that people have (contributed to global warming) or can do very much to change anything.""","","http://www.politifact.com/subjects/climate-change/statements/?page=7","http://static.politifact.com.s3.amazonaws.com/rulings/tom-false.png"
"Proposed tax changes are a ""handout"" to BP.","","http://www.politifact.com/subjects/climate-change/statements/?page=8","http://static.politifact.com.s3.amazonaws.com/rulings/tom-halftrue.png"
"Says Miami Congressman Carlos ""Curbelo supports drilling offshore"" and ""repeatedly voted against President Obama's ability to fight pollution and combat climate change.""","","","http://static.politifact.com.s3.amazonaws.com/rulings/tom-mostlyfalse.png"
"Claims Ohio Gov. John Kasich says climate change is a problem.","","http://www.politifact.com/subjects/climate-change/statements/?page=6","http://static.politifact.com.s3.amazonaws.com/rulings/tom-true.png"
"Gas will reach $4 a gallon under a cap-and-trade plan.","","http://www.politifact.com/subjects/climate-change/statements/?page=9","http://static.politifact.com.s3.amazonaws.com/rulings/tom-mostlyfalse.png"
"""Scientists project that the Arctic will be ice-free in the summer of 2013.""","","http://www.politifact.com/subjects/climate-change/statements/?page=9","http://static.politifact.com.s3.amazonaws.com/rulings/tom-mostlyfalse.png"
"""This president spends 30 times as much money on global warming research as he does on weather forecasting and warning.""","","http://www.politifact.com/subjects/climate-change/statements/?page=6","http://static.politifact.com.s3.amazonaws.com/rulings/tom-mostlyfalse.png"
"""President Obama's proposal calls for serious cuts in our own long-term carbon emissions,"" but China and India will still be allowed to increase their emissions.","","http://www.politifact.com/subjects/climate-change/statements/?page=9","http://static.politifact.com.s3.amazonaws.com/rulings/tom-true.png"
"""[Renewable energy] projects . . . get us off foreign oil and away, step by step, from these foreign entanglements that we have to get into to defend our oil supply.""","","http://www.politifact.com/subjects/climate-change/statements/?page=7","http://static.politifact.com.s3.amazonaws.com/rulings/tom-mostlyfalse.png"
"After the 9/11 terrorist attacks grounded commercial air traffic, ""there was a temperature drop while the airplanes weren't flying, for the week afterwards.""","","http://www.politifact.com/subjects/climate-change/statements/?page=6","http://static.politifact.com.s3.amazonaws.com/rulings/tom-mostlyfalse.png"
"Says President Obama's decision to not issue a permit for the Keystone XL pipeline meant ""we were denied the ability immediately to reduce prices at the pump.""","","http://www.politifact.com/subjects/climate-change/statements/?page=7","http://static.politifact.com.s3.amazonaws.com/rulings/tom-false.png"
"U.S. Sen. Bill Nelson ""chose to side with President Obama"" against the Keystone pipeline","","http://www.politifact.com/subjects/climate-change/statements/?page=6","http://static.politifact.com.s3.amazonaws.com/rulings/tom-halftrue.png"
"The Obama administration's cap-and-trade plan would create ""a $1,761 yearly energy tax.""","","http://www.politifact.com/subjects/climate-change/statements/?page=9","http://static.politifact.com.s3.amazonaws.com/rulings/tom-false.png"
"""The nearly six-year delay in approving Keystone is costing Americans more than 100,000 jobs.""","","http://www.politifact.com/subjects/climate-change/statements/?page=4","http://static.politifact.com.s3.amazonaws.com/rulings/tom-false.png"
"Gas prices have doubled because ""Obama opposed exploring for energy in Alaska. He gave millions of tax dollars to Solyndra, which then went bankrupt. And he blocked the Keystone pipeline. So we will all pay more at the pump.""","","http://www.politifact.com/subjects/climate-change/statements/?page=7","http://static.politifact.com.s3.amazonaws.com/rulings/tom-false.png"
"""I have always said that I would be for drilling.""","","http://www.politifact.com/subjects/climate-change/statements/?page=7","http://static.politifact.com.s3.amazonaws.com/rulings/tom-pantsonfire.gif"
"""The weight of the evidence (on global warming) is that most of it, maybe all of it, is because of natural causes ... it’s fair to say the science is in dispute.""","","http://www.politifact.com/subjects/climate-change/statements/?page=7","http://static.politifact.com.s3.amazonaws.com/rulings/tom-false.png"
"""[Tailpipe emissions rules], if fully implemented with all the regulations that go with it, they will keep the temperature from rising nearly five one-hundredths of a degree Fahrenheit. By 2050.""","","http://www.politifact.com/subjects/climate-change/statements/?page=8","http://static.politifact.com.s3.amazonaws.com/rulings/tom-true.png"
"Says Barack Obama told the U.S. Coast Guard Academy ""that the number one threat to the military and the world today is global warming.""","","http://www.politifact.com/subjects/climate-change/statements/?page=3","http://static.politifact.com.s3.amazonaws.com/rulings/tom-mostlyfalse.png"
"On whether humans contribute to global warming","","http://www.politifact.com/subjects/climate-change/statements/?page=6","http://static.politifact.com.s3.amazonaws.com/rulings/fom-halfFlip.png"
"The claim that 97 percent of scientists believe humans are causing climate change has been debunked by the ""head"" of the United Nations Intergovernmental Panel on Climate Change. ""That number was pulled out of thin air.""","","http://www.politifact.com/subjects/climate-change/statements/?page=3","http://static.politifact.com.s3.amazonaws.com/rulings/tom-false.png"
"Carbon dioxide is not ""a primary contributor to the global warming that we see.""","","","http://static.politifact.com.s3.amazonaws.com/rulings/tom-false.png"
"""Since President Obama took office, gas prices have gone up 67 percent.""","","http://www.politifact.com/subjects/climate-change/statements/?page=8","http://static.politifact.com.s3.amazonaws.com/rulings/tom-halftrue.png"
"""The Republican leadership in the House has refused to address the issues that matter the most to Rhode Island, such as passing a jobs bill.""","","http://www.politifact.com/subjects/climate-change/statements/?page=5","http://static.politifact.com.s3.amazonaws.com/rulings/tom-pantsonfire.gif"
"""You go down to Miami and when it's flooding at high tide on a sunny day, fish are swimming through the middle of the streets.""","","http://www.politifact.com/subjects/climate-change/statements/?page=2","http://static.politifact.com.s3.amazonaws.com/rulings/tom-halftrue.png"
"""Food waste is the 3rd largest contributor"" of greenhouse gas emissions.","","","http://static.politifact.com.s3.amazonaws.com/rulings/tom-false.png"
"""Not one Republican has the guts to recognize that climate change is real.""","","http://www.politifact.com/subjects/climate-change/statements/?page=2","http://static.politifact.com.s3.amazonaws.com/rulings/tom-false.png"
"In a poll, ""53 percent of young Republican voters . . . under age 35 said that they would describe a climate [change] denier as 'ignorant,' 'out of touch' or 'crazy.'""","","http://www.politifact.com/subjects/climate-change/statements/?page=5","http://static.politifact.com.s3.amazonaws.com/rulings/tom-mostlytrue.png"
"Surface temperatures on Earth ""have stabilized.""","","http://www.politifact.com/subjects/climate-change/statements/?page=4","http://static.politifact.com.s3.amazonaws.com/rulings/tom-mostlyfalse.png"
"The United States is the leading nation in the world ""with the highest amount of doubt about the conventional wisdom of climate change.""","","http://www.politifact.com/subjects/climate-change/statements/?page=4","http://static.politifact.com.s3.amazonaws.com/rulings/tom-mostlytrue.png"
"""Only 3 percent of voters 18 to 34 don't believe that climate change is really happening.""","","http://www.politifact.com/subjects/climate-change/statements/?page=5","http://static.politifact.com.s3.amazonaws.com/rulings/tom-true.png"
"""Not only is there no scientific evidence that CO2 is a pollutant, higher CO2 concentrations actually help ecosystems support more plant and animal life.""","","http://www.politifact.com/subjects/climate-change/statements/?page=9","http://static.politifact.com.s3.amazonaws.com/rulings/tom-false.png"
"""The only candidate pocketing big money from people who want to destroy coal is Mitch McConnell.""","","http://www.politifact.com/subjects/climate-change/statements/?page=4","http://static.politifact.com.s3.amazonaws.com/rulings/tom-false.png"
"""There are over 100 pipelines between the United States and Canada right now.""","","http://www.politifact.com/subjects/climate-change/statements/?page=5","http://static.politifact.com.s3.amazonaws.com/rulings/tom-mostlyfalse.png"
"""For several days in July of 2012, Greenland surface ice cover melted more than at any time in 30 years of satellite observation. During that month, an estimated 97% of the ice sheet thawed.""","","http://www.politifact.com/subjects/climate-change/statements/?page=5","http://static.politifact.com.s3.amazonaws.com/rulings/tom-halftrue.png"
"Says ""Bill Clinton and George Bush both say build the Keystone XL.""","","http://www.politifact.com/subjects/climate-change/statements/?page=5","http://static.politifact.com.s3.amazonaws.com/rulings/tom-true.png"
"Scientists are ""questioning the original idea that man-made global warming is what is causing the climate to change. … (It is) more and more being put into question.""","","http://www.politifact.com/subjects/climate-change/statements/?page=7","http://static.politifact.com.s3.amazonaws.com/rulings/tom-false.png"
"The oceans ""have become 30 percent more acidic.""","","http://www.politifact.com/subjects/climate-change/statements/?page=5","http://static.politifact.com.s3.amazonaws.com/rulings/tom-mostlytrue.png"
"""The government is going to tell Americans they need to replace functioning stoves in their homes with 'government-certified' stoves and use taxpayer dollars to do so.""","","http://www.politifact.com/subjects/climate-change/statements/?page=9","http://static.politifact.com.s3.amazonaws.com/rulings/tom-halftrue.png"
"On whether global warming is man-made.","","http://www.politifact.com/subjects/climate-change/statements/?page=10","http://static.politifact.com.s3.amazonaws.com/rulings/fom-fullFlop.png"
"Says U.S. Sen. Ron Johnson voted to let oil and gas companies emit ""unlimited carbon pollution into our air""","","http://www.politifact.com/subjects/climate-change/statements/?page=5","http://static.politifact.com.s3.amazonaws.com/rulings/tom-true.png"
"""The climate hasn't warmed in quite a few years. That is proven scientifically.""","","","http://static.politifact.com.s3.amazonaws.com/rulings/tom-false.png"
"""No city in the state, no state in this nation, for that matter the entire world, has adopted (clean energy) targets more ambitious in scale.""","","http://www.politifact.com/subjects/climate-change/statements/?page=2","http://static.politifact.com.s3.amazonaws.com/rulings/tom-mostlytrue.png"
"""California is growing a hell of a lot faster than Texas.""","","","http://static.politifact.com.s3.amazonaws.com/rulings/tom-mostlytrue.png"
"""Cap-and-trade is wildly unpopular with Americans.""","","http://www.politifact.com/subjects/climate-change/statements/?page=9","http://static.politifact.com.s3.amazonaws.com/rulings/tom-false.png"
"""Our community (Tampa Bay) is one of the 10 most threatened by the sea level rise in the world.""","","http://www.politifact.com/subjects/climate-change/statements/?page=2","http://static.politifact.com.s3.amazonaws.com/rulings/tom-mostlytrue.png"
"A bill to cap carbon emissions ""could cost Ohio 100,000 jobs.""","","http://www.politifact.com/subjects/climate-change/statements/?page=8","http://static.politifact.com.s3.amazonaws.com/rulings/tom-mostlyfalse.png"
"As a result of climate change, ice fishermen in Wisconsin ""are already noticing fewer days they can be out on our ice covered lakes.""","","http://www.politifact.com/subjects/climate-change/statements/?page=5","http://static.politifact.com.s3.amazonaws.com/rulings/tom-true.png"
"""In the 18th Congressional District, 100% of electric generation comes from coal.""","","http://www.politifact.com/subjects/climate-change/statements/?page=8","http://static.politifact.com.s3.amazonaws.com/rulings/tom-true.png"
"On a cap-and-trade plan.","","http://www.politifact.com/subjects/climate-change/statements/?page=9","http://static.politifact.com.s3.amazonaws.com/rulings/fom-fullFlop.png"
"""I don’t understand what Republicans are doing against this. It was their idea. John McCain introduced cap and trade legislation three times.""","","http://www.politifact.com/subjects/climate-change/statements/?page=8","http://static.politifact.com.s3.amazonaws.com/rulings/tom-true.png"
"Says that in the U.S. House of Representatives ""we’ve had bipartisan support for the repeal of Obamacare … for getting rid of cap and trade … for building the Keystone Pipeline.""","","http://www.politifact.com/subjects/climate-change/statements/?page=6","http://static.politifact.com.s3.amazonaws.com/rulings/tom-true.png"
"Rick Boucher ""helped write"" the cap-and-trade bill","","http://www.politifact.com/subjects/climate-change/statements/?page=8","http://static.politifact.com.s3.amazonaws.com/rulings/tom-halftrue.png"
"The ""post-Soviet industrial meltdown is responsible for most of the progress in reducing carbon emissions that Europe is able to claim.""","","http://www.politifact.com/subjects/climate-change/statements/?page=9","http://static.politifact.com.s3.amazonaws.com/rulings/tom-mostlytrue.png"
"""There are already more American jobs in the solar industry than in coal mining.""","","http://www.politifact.com/subjects/climate-change/statements/?page=4","http://static.politifact.com.s3.amazonaws.com/rulings/tom-true.png"
"The Obama administration’s ""own Environmental Protection Agency"" has said its Clean Power Plan ""will have a marginal impact on climate change.""","","http://www.politifact.com/subjects/climate-change/statements/?page=3","http://static.politifact.com.s3.amazonaws.com/rulings/tom-halftrue.png"
"Tide gauges measuring sea level in Rhode Island since 1930 have risen ""maybe about 10 inches since that time.""","","http://www.politifact.com/subjects/climate-change/statements/?page=6","http://static.politifact.com.s3.amazonaws.com/rulings/tom-mostlytrue.png"
"""Many of the alarmists on global warming, they’ve got a problem because the science doesn’t back them up. In particular, satellite data demonstrate for the last 17 years, there’s been zero warming.""","","http://www.politifact.com/subjects/climate-change/statements/?page=3","http://static.politifact.com.s3.amazonaws.com/rulings/tom-mostlyfalse.png"
"""Global warming is a hoax.""","","http://www.politifact.com/subjects/climate-change/statements/?page=4","http://static.politifact.com.s3.amazonaws.com/rulings/tom-pantsonfire.gif"
"""In reality, gas produced by fracking is worse for the climate than coal.""","","http://www.politifact.com/subjects/climate-change/statements/?page=2","http://static.politifact.com.s3.amazonaws.com/rulings/tom-halftrue.png"
"Americans ""bought into climate change"" in 2004-06, but then most ""began wandering away from this issue.""","","http://www.politifact.com/subjects/climate-change/statements/?page=4","http://static.politifact.com.s3.amazonaws.com/rulings/tom-halftrue.png"
"""Every single month since 1985 has been warmer than the historic average. All 12 of the warmest years on record have come in the last 15 years.""","","http://www.politifact.com/subjects/climate-change/statements/?page=5","http://static.politifact.com.s3.amazonaws.com/rulings/tom-true.png"
"The cap-and-trade bill will mean ""2 million jobs lost.""","","http://www.politifact.com/subjects/climate-change/statements/?page=9","http://static.politifact.com.s3.amazonaws.com/rulings/tom-mostlyfalse.png"
"""The elimination of essentially every automobile would be offset by one volcano exploding.""","","http://www.politifact.com/subjects/climate-change/statements/?page=3","http://static.politifact.com.s3.amazonaws.com/rulings/tom-false.png"
"The Paris Agreement ""is by far the largest number of countries ever to sign an international agreement on a single day.""","","http://www.politifact.com/subjects/climate-change/statements/?page=2","http://static.politifact.com.s3.amazonaws.com/rulings/tom-mostlytrue.png"
"The proposed Keystone XL oil pipeline is a bipartisan proposal.","","http://www.politifact.com/subjects/climate-change/statements/?page=7","http://static.politifact.com.s3.amazonaws.com/rulings/tom-mostlytrue.png"
"Says Donald Trump ""thinks that climate change is a hoax, invented by the Chinese.""","","http://www.politifact.com/subjects/climate-change/statements/?page=2","http://static.politifact.com.s3.amazonaws.com/rulings/tom-mostlytrue.png"
"""We have spent $350 million to deal with sea-level rise"" in the Miami area and ""hundreds of millions of dollars to deal with coral reefs.""","","http://www.politifact.com/subjects/climate-change/statements/?page=3","http://static.politifact.com.s3.amazonaws.com/rulings/tom-mostlyfalse.png"
"On climate change, ""the temperature readings have been fabricated, and it's all blowing up in their (scientists') faces.""","","http://www.politifact.com/subjects/climate-change/statements/?page=3","http://static.politifact.com.s3.amazonaws.com/rulings/tom-pantsonfire.gif"
"Tim Kaine supported ""higher energy costs for families.""","","http://www.politifact.com/subjects/climate-change/statements/?page=6","http://static.politifact.com.s3.amazonaws.com/rulings/tom-mostlyfalse.png"
"Global warming leads to much quicker spread of the Zika virus because the increased temperature, ""makes mosquitoes mature faster,  . . . bite more due to having a higher metabolism, and makes the Zika virus inside of them incubate faster.""","","","http://static.politifact.com.s3.amazonaws.com/rulings/tom-halftrue.png"
"Cap and trade legislation that Zack Space supported ""would cost the average household approximately $1,761 per year in increased energy rates.""","","http://www.politifact.com/subjects/climate-change/statements/?page=8","http://static.politifact.com.s3.amazonaws.com/rulings/tom-pantsonfire.gif"
"""Fifteen out of the 20 most polluted cities in the world"" are in India and China.","","http://www.politifact.com/subjects/climate-change/statements/?page=2","http://static.politifact.com.s3.amazonaws.com/rulings/tom-mostlytrue.png"
"Earth ""has not warmed for the last 17 years.""","","http://www.politifact.com/subjects/climate-change/statements/?page=5","http://static.politifact.com.s3.amazonaws.com/rulings/tom-mostlyfalse.png"
"Sen. Marco Rubio ""refuses to accept the basic science"" on climate change and is ""a climate change denier.""","","http://www.politifact.com/subjects/climate-change/statements/?page=5","http://static.politifact.com.s3.amazonaws.com/rulings/tom-mostlytrue.png"
"""Over 97 percent of the scientific community … believe that humans are contributing to climate change.""","","http://www.politifact.com/subjects/climate-change/statements/?page=2","http://static.politifact.com.s3.amazonaws.com/rulings/tom-mostlytrue.png"
"Says ""the cascading effects"" of climate change contributed to the rise of ISIS.","","http://www.politifact.com/subjects/climate-change/statements/?page=2","http://static.politifact.com.s3.amazonaws.com/rulings/tom-mostlytrue.png"
"""A major part"" of the climate change bill sponsored by Sens. John Kerry and Joe Lieberman ""was essentially written by BP.""","","http://www.politifact.com/subjects/climate-change/statements/?page=8","http://static.politifact.com.s3.amazonaws.com/rulings/tom-false.png"
"""NASA scientists fudged the numbers to make 1998 the hottest year to overstate the extent of global warming.""","","http://www.politifact.com/subjects/climate-change/statements/?page=4","http://static.politifact.com.s3.amazonaws.com/rulings/tom-pantsonfire.gif"
"The climate-change agreement between the United States and China ""requires the Chinese to do nothing at all for 16 years.""","","http://www.politifact.com/subjects/climate-change/statements/?page=3","http://static.politifact.com.s3.amazonaws.com/rulings/tom-mostlyfalse.png"
"The cap-and-trade bill before Congress ""prevents you from selling your home without the permission of the EPA administrator.""","","http://www.politifact.com/subjects/climate-change/statements/?page=8","http://static.politifact.com.s3.amazonaws.com/rulings/tom-pantsonfire.gif"
"""This March, for the first time in human history, the monthly average carbon dioxide in our atmosphere exceeded 400 parts per million. The range had been 170-300 parts per million for hundreds of thousands of years.""","","http://www.politifact.com/subjects/climate-change/statements/?page=3","http://static.politifact.com.s3.amazonaws.com/rulings/tom-true.png"
"""61 percent of non-tea party Republicans actually agree...there is 'solid evidence the earth is warming,' ...[but] 70 percent of tea partiers, contrarily, say there is 'no solid evidence' the earth is warming.""","","http://www.politifact.com/subjects/climate-change/statements/?page=5","http://static.politifact.com.s3.amazonaws.com/rulings/tom-mostlytrue.png"
"The National Science Foundation awarded $700,000 to fund a climate change musical.","","http://www.politifact.com/subjects/climate-change/statements/?page=4","http://static.politifact.com.s3.amazonaws.com/rulings/tom-true.png"
"Says Texas wildfires are linked to climate change.","","http://www.politifact.com/subjects/climate-change/statements/?page=7","http://static.politifact.com.s3.amazonaws.com/rulings/tom-halftrue.png"
"""For the last decade the climate has been cooling.""","","http://www.politifact.com/subjects/climate-change/statements/?page=9","http://static.politifact.com.s3.amazonaws.com/rulings/tom-false.png"
"""Every day, oil continues to pour into the Gulf of Mexico. ... Even with disaster on our coast..., Richard Burr voted to let big oil off the hook.""","","http://www.politifact.com/subjects/climate-change/statements/?page=8","http://static.politifact.com.s3.amazonaws.com/rulings/tom-halftrue.png"
"Says climate scientist James Hansen says ""we have until perhaps 50 years from now,"" or maybe a little longer ""and at that point, we are looking at 10, 20, 30 feet of sea-level rise.""","","","http://static.politifact.com.s3.amazonaws.com/rulings/tom-false.png"
"""The president has said the national security threat facing America, the top one, is global warming.""","","","http://static.politifact.com.s3.amazonaws.com/rulings/tom-mostlyfalse.png"
"Human activity is not ""causing these dramatic changes to our climate.""","","http://www.politifact.com/subjects/climate-change/statements/?page=4","http://static.politifact.com.s3.amazonaws.com/rulings/tom-false.png"
"""You don't have to be as smart as a fifth-grader to know what causes the climate is the sun. The sun.  I have people tell me, ‘Carbon dioxide warms the Earth.’  No, it doesn't.  The sun warms the Earth.""","","http://www.politifact.com/subjects/climate-change/statements/?page=3","http://static.politifact.com.s3.amazonaws.com/rulings/tom-mostlyfalse.png"
"""The market is making this decision. The market has driven down the cost of coal, so you have companies going bankrupt.""","","http://www.politifact.com/subjects/climate-change/statements/?page=2","http://static.politifact.com.s3.amazonaws.com/rulings/tom-mostlytrue.png"
"Says that Sherrod Brown is an ""Obama rubber stamp"" for ""supporting the job-killing cap and trade plan.""","","http://www.politifact.com/subjects/climate-change/statements/?page=6","http://static.politifact.com.s3.amazonaws.com/rulings/tom-false.png"
"""The Earth is not warming.""","","http://www.politifact.com/subjects/climate-change/statements/?page=5","http://static.politifact.com.s3.amazonaws.com/rulings/tom-pantsonfire.gif"
"The ocean is now ""much more acidic . . . than it has been for many millions of years.""","","http://www.politifact.com/subjects/climate-change/statements/?page=5","http://static.politifact.com.s3.amazonaws.com/rulings/tom-halftrue.png"
"California has ""robust job growth that outpaces the rest of the nation.""","","http://www.politifact.com/subjects/climate-change/statements/?page=2","http://static.politifact.com.s3.amazonaws.com/rulings/tom-mostlytrue.png"
"""The EPA director under Obama said the Clean Power Initiative would have no effect on man-made CO2 emissions. That's what she said. Go look it up.""","","","http://static.politifact.com.s3.amazonaws.com/rulings/tom-false.png"
"The ""most realistic estimates"" for jobs created by Keystone XL are ""maybe 2,000 jobs during the construction of the pipeline.""","","http://www.politifact.com/subjects/climate-change/statements/?page=5","http://static.politifact.com.s3.amazonaws.com/rulings/tom-false.png"
"Says Donald Trump was ""caught investing in (the) Dakota Pipeline before signing it.""","","","http://static.politifact.com.s3.amazonaws.com/rulings/tom-false.png"
